TRANSACT_TYPE,OWNTYPE,BEDROOM_NUM,PRICE_PER_UNIT_AREA,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,PRICE,TOTAL_LANDMARK_COUNT,BALCONY_NUM,FLOOR_NUM,CARPET_SQFT,BUILTUP_SQFT,SUPER_SQFT,side,latitude,longitude,society,preference,type,AmenityScore
2.0,1,3.0,6755.0,0,0,5,20.0,6755.0,829-832  sq.ft.,56  - 56.2 L,3.0,0.0,1.0,,,,4,22.615205,88.28759,joyville western height,2,2,0.0
2.0,1,2.0,6585.0,0,0,5,20.0,6585.0,615-621  sq.ft.,40.5  - 40.89 L,3.0,0.0,1.0,,,,4,22.615205,88.28759,joyville western height,2,2,0.0
2.0,1,4.0,8637.0,0,0,5,25.0,8637.0,1454 sq.ft.,1.26  - 1.26 Cr,3.0,0.0,1.0,,,,2,22.64664,88.37817,merlin serenia,2,2,0.0
2.0,1,3.0,8804.0,0,0,5,25.0,8804.0,865-1125  sq.ft.,78.82  - 95.66 L,3.0,0.0,1.0,,,,2,22.64664,88.37817,merlin serenia,2,2,0.0
2.0,1,2.0,8759.0,0,0,5,25.0,8759.0,732 sq.ft.,64.12 L,3.0,0.0,1.0,,732.0,,2,22.64664,88.37817,merlin serenia,2,2,0.0
2.0,1,3.0,5200.0,0,0,6,5.0,5200.0,1460 sq.ft.,75.92 L,11.0,0.0,1.0,,,,1,22.603361,88.447509,sunday on the house,2,2,0.0
2.0,1,2.0,5200.0,0,0,6,5.0,5200.0,1050 sq.ft.,54.6 L,11.0,0.0,1.0,,,,1,22.603361,88.447509,sunday on the house,2,2,0.0
0.0,0,4.0,5.0,1,0,2,2.0,5.0,2000 sq.ft.,"10,000/Bed",49.0,1.0,0.0,2000.0,,,3,22.534637,88.348268,,0,1,15.5
2.0,1,,485.0,0,0,0,0.0,485.0,871-16331  sq.ft.,4.23  - 79.37 L,15.0,0.0,0.0,,,,3,22.453546007271,88.302361266824,ariyan housing complex,2,3,0.0
2.0,1,3.0,3581.0,0,0,6,7.0,3581.0,936-983  sq.ft.,34.03  - 34.94 L,1.0,0.0,1.0,,,,3,22.432112,88.381536,happy homes v,2,2,0.0
2.0,1,2.0,3454.0,0,0,6,7.0,3454.0,765-826  sq.ft.,26.58  - 28.38 L,1.0,0.0,1.0,,,,3,22.432112,88.381536,happy homes v,2,2,0.0
2.0,1,2.0,3700.0,0,0,5,5.0,3700.0,829-1040  sq.ft.,30.67  - 38.48 L,9.0,0.0,1.0,,,,2,22.69649,88.46788,pd kasturi heights,2,2,0.0
2.0,1,4.0,3819.0,0,0,6,0.0,3819.0,1440 sq.ft.,55 L,,0.0,0.0,,1440.0,,3,22.361331,88.301933,harbour greens,2,0,0.0
2.0,1,3.0,2342.0,0,0,6,0.0,2342.0,1537 sq.ft.,36 L,,0.0,0.0,,1537.0,,3,22.361331,88.301933,harbour greens,2,0,0.0
2.0,1,3.0,3500.0,0,0,5,11.0,3500.0,1084 sq.ft.,37.94 L,8.0,0.0,1.0,,,,3,22.416282774524,88.402759225572,spotlight countryside,2,2,0.0
2.0,1,2.0,3520.0,0,0,5,11.0,3520.0,838 sq.ft.,29.5 L,8.0,0.0,1.0,,,,3,22.416282774524,88.402759225572,spotlight countryside,2,2,0.0
2.0,1,3.0,5600.0,0,0,6,4.0,5600.0,1239-1254  sq.ft.,69.38  - 70.22 L,50.0,0.0,1.0,,,,2,22.606142,88.412082,tirath guru,2,2,0.0
2.0,1,3.0,4000.0,0,0,6,7.0,4000.0,1084-1267  sq.ft.,43.36  - 50.68 L,15.0,0.0,1.0,,,,3,22.427963,88.407401,sgil gardenia,2,2,0.0
2.0,1,2.0,4000.0,0,0,6,7.0,4000.0,819 sq.ft.,32.76 L,15.0,0.0,1.0,,,,3,22.427963,88.407401,sgil gardenia,2,2,0.0
2.0,1,3.0,48278.0,0,0,5,12.0,48278.0,1205-1335  sq.ft.,92.45 L - 1.12 Cr,8.0,0.0,1.0,,,,2,22.627297442716,88.367389015344,oswal orchard amritaya,2,2,0.0
2.0,1,2.0,6178.0,0,0,5,12.0,6178.0,922-947  sq.ft.,56.97  - 58.51 L,8.0,0.0,1.0,,,,2,22.627297442716,88.367389015344,oswal orchard amritaya,2,2,0.0
2.0,1,3.0,7265.0,0,0,5,20.0,7265.0,781-802  sq.ft.,57  - 57.95 L,8.0,0.0,1.0,,,,3,22.404246,88.412689,merlin skygaze,2,2,0.0
2.0,1,2.0,6831.0,0,0,5,20.0,6831.0,688 sq.ft.,47 L,8.0,0.0,1.0,,,,3,22.404246,88.412689,merlin skygaze,2,2,0.0
2.0,1,3.0,4632.0,0,0,5,4.0,4632.0,830 sq.ft.,38.45 L,9.0,0.0,1.0,,830.0,,3,22.364731,88.439948,merlin oikyo,2,2,0.0
2.0,1,2.0,4535.0,0,0,5,4.0,4535.0,502-576  sq.ft.,22.88  - 26 L,9.0,0.0,1.0,,,,3,22.364731,88.439948,merlin oikyo,2,2,0.0
2.0,1,3.0,6527.0,0,0,5,22.0,6527.0,812 sq.ft.,53 L,15.0,0.0,1.0,,812.0,,1,22.624123,88.504297,merlin rise,2,2,0.0
2.0,1,2.0,6495.0,0,0,5,22.0,6495.0,632-639  sq.ft.,41  - 41.6 L,15.0,0.0,1.0,,,,1,22.624123,88.504297,merlin rise,2,2,0.0
2.0,1,3.0,7300.0,0,0,5,12.0,7300.0,1131-1310  sq.ft.,82.56  - 95.63 L,8.0,0.0,1.0,,,,3,22.4523,88.39428,ganguly 4sight vivante,2,2,0.0
2.0,1,2.0,7300.0,0,0,5,12.0,7300.0,805-924  sq.ft.,58.76  - 67.45 L,8.0,0.0,1.0,,,,3,22.4523,88.39428,ganguly 4sight vivante,2,2,0.0
2.0,1,3.0,6094.0,0,0,5,14.0,6094.0,1083-1250  sq.ft.,66  - 76.18 L,8.0,0.0,1.0,,,,1,22.632642,88.479143,urban vista phase 1,2,2,0.0
2.0,1,2.0,5875.0,0,0,5,14.0,5875.0,800-1087  sq.ft.,47  - 63.86 L,8.0,0.0,1.0,,,,1,22.632642,88.479143,urban vista phase 1,2,2,0.0
2.0,1,3.0,9550.0,0,0,5,13.0,9550.0,712-818  sq.ft.,68  - 78.12 L,8.0,0.0,1.0,,,,1,22.634078,88.467922,loharuka green heights phase 2,2,2,0.0
2.0,1,2.0,8506.0,0,0,5,13.0,8506.0,576-673  sq.ft.,49  - 57.25 L,8.0,0.0,1.0,,,,1,22.634078,88.467922,loharuka green heights phase 2,2,2,0.0
2.0,1,2.0,22408.0,0,0,5,4.0,22408.0,613-710  sq.ft.,19.69  - 22.47 L,1.0,0.0,1.0,,,,3,22.446764,88.409807,atri surya toron,2,2,0.0
2.0,1,3.0,12207.0,0,0,5,4.0,12207.0,1009-1027  sq.ft.,41.06  - 41.79 L,8.0,0.0,1.0,,,,3,22.436182784529,88.400077077669,atri rays,2,2,0.0
2.0,1,2.0,12222.0,0,0,5,4.0,12222.0,784-820  sq.ft.,31.94  - 33.41 L,8.0,0.0,1.0,,,,3,22.436182784529,88.400077077669,atri rays,2,2,0.0
2.0,1,3.0,3997.0,0,0,5,11.0,3997.0,1162 sq.ft.,46.45 L,10.0,0.0,1.0,,,,3,22.42272,88.39568,atri aqua,2,2,0.0
2.0,1,2.0,7639.0,0,0,5,11.0,7639.0,829-856  sq.ft.,32.01  - 32.34 L,10.0,0.0,1.0,,,,3,22.42272,88.39568,atri aqua,2,2,0.0
2.0,1,3.0,12886.0,0,0,5,4.0,12886.0,775-829  sq.ft.,24.4  - 26.37 L,1.0,0.0,1.0,,,,3,22.446764,88.409807,atri surya toron,2,2,0.0
2.0,1,3.0,4075.0,0,0,5,6.0,4075.0,1310-1391  sq.ft.,55  - 55 L,30.0,0.0,1.0,,,,2,22.64288,88.40624,bhawani sunrise,2,2,0.0
2.0,1,2.0,3995.0,0,0,5,6.0,3995.0,887-965  sq.ft.,37  - 37 L,30.0,0.0,1.0,,,,2,22.64288,88.40624,bhawani sunrise,2,2,0.0
2.0,1,3.0,4044.0,0,0,5,8.0,4044.0,1181-1391  sq.ft.,48  - 56 L,16.0,0.0,1.0,,,,2,22.685720324715,88.478028393105,natural city madhyamgram,2,2,0.0
2.0,1,2.0,4072.0,0,0,5,8.0,4072.0,933 sq.ft.,38 L,16.0,0.0,1.0,,,,2,22.685720324715,88.478028393105,natural city madhyamgram,2,2,0.0
2.0,1,4.0,4316.0,0,0,6,0.0,4316.0,2275-3625  sq.ft.,1  - 1.65 Cr,,0.0,0.0,,,,3,22.420413,88.521005,greenland the eco village,2,0,0.0
2.0,1,3.0,4135.0,0,0,6,0.0,4135.0,1700-2850  sq.ft.,75 L - 1.1 Cr,,0.0,0.0,,,,3,22.420413,88.521005,greenland the eco village,2,0,0.0
2.0,1,3.0,9014.0,0,0,5,20.0,9014.0,843 sq.ft.,75.99  - 75.99 L,29.0,0.0,1.0,,,,3,22.451904704966,88.389080137272,southern woods,2,2,0.0
2.0,1,2.0,9619.0,0,0,5,20.0,9619.0,659 sq.ft.,63.39  - 63.39 L,29.0,0.0,1.0,,,,3,22.451904704966,88.389080137272,southern woods,2,2,0.0
2.0,1,4.0,14404.0,0,0,5,45.0,14404.0,4103 sq.ft.,5.91 Cr,15.0,0.0,1.0,,,,3,22.512772,88.410254,urbana,2,2,0.0
2.0,1,3.0,14461.0,0,0,5,45.0,14461.0,2199 sq.ft.,3.18 Cr,15.0,0.0,1.0,,,,3,22.512772,88.410254,urbana,2,2,0.0
2.0,1,,1389.0,0,0,0,0.0,1389.0,720-3600  sq.ft.,10  - 50 L,7.0,0.0,0.0,,,,1,22.618042,88.442516,swapnabhumi shantiniketan,2,3,0.0
2.0,1,3.0,5100.0,0,0,5,4.0,5100.0,1359 sq.ft.,69.31 L,46.0,0.0,1.0,,,,2,22.597819424373,88.438383821081,bhawani tridev garden 2,2,2,0.0
2.0,1,2.0,5099.0,0,0,5,4.0,5099.0,974 sq.ft.,49.67 L,46.0,0.0,1.0,,,,2,22.597819424373,88.438383821081,bhawani tridev garden 2,2,2,0.0
2.0,1,3.0,11134.0,0,0,5,12.0,11134.0,937-948  sq.ft.,1.04  - 1.06 Cr,14.0,0.0,1.0,,,,3,22.54629,88.37943,kalim zeus,2,2,0.0
2.0,1,2.0,11253.0,0,0,5,12.0,11253.0,738-747  sq.ft.,83.05  - 84.07 L,14.0,0.0,1.0,,,,3,22.54629,88.37943,kalim zeus,2,2,0.0
2.0,1,3.0,5500.0,0,0,5,7.0,5500.0,1200-1220  sq.ft.,66  - 67.1 L,7.0,0.0,1.0,,,,2,22.608852,88.416745,signature the landmark,2,2,0.0
2.0,1,2.0,5500.0,0,0,5,7.0,5500.0,812 sq.ft.,44.66 L,7.0,0.0,1.0,,,,2,22.608852,88.416745,signature the landmark,2,2,0.0
2.0,1,3.0,3200.0,0,0,5,4.0,3200.0,1185 sq.ft.,37.92 L,10.0,0.0,1.0,,,,2,22.67046,88.4542,tilottama natural city,2,2,0.0
2.0,1,2.0,3200.0,0,0,5,4.0,3200.0,778 sq.ft.,24.9 L,10.0,0.0,1.0,,,,2,22.67046,88.4542,tilottama natural city,2,2,0.0
2.0,1,3.0,3950.0,0,0,6,12.0,3950.0,1079-1121  sq.ft.,42.62  - 44.28 L,6.0,0.0,1.0,,,,3,22.447353,88.287786,metro heights,2,2,0.0
2.0,1,2.0,3950.0,0,0,6,12.0,3950.0,835-872  sq.ft.,32.98  - 34.44 L,6.0,0.0,1.0,,,,3,22.447353,88.287786,metro heights,2,2,0.0
2.0,1,2.0,3594.0,0,0,5,3.0,3594.0,747-879  sq.ft.,26.85  - 31.59 L,12.0,0.0,1.0,,,,3,22.51049,88.38412,eden tolly court,2,2,0.0
2.0,1,1.0,3594.0,0,0,5,3.0,3594.0,473-522  sq.ft.,17  - 18.76 L,12.0,0.0,1.0,,,,3,22.51049,88.38412,eden tolly court,2,2,0.0
2.0,1,3.0,3300.0,0,0,5,4.0,3300.0,893-986  sq.ft.,29.47  - 32.54 L,15.0,0.0,1.0,,,,2,22.746763,88.485751,magnolia fantasia,2,2,0.0
2.0,1,2.0,3300.0,0,0,5,4.0,3300.0,689-822  sq.ft.,22.74  - 27.13 L,15.0,0.0,1.0,,,,2,22.746763,88.485751,magnolia fantasia,2,2,0.0
2.0,1,3.0,4500.0,0,0,5,12.0,4500.0,1189-1322  sq.ft.,53.51  - 59.49 L,8.0,0.0,1.0,,,,1,22.589935,88.510215,magnolia merlion,2,2,0.0
2.0,1,2.0,4500.0,0,0,5,12.0,4500.0,933-965  sq.ft.,41.99  - 43.42 L,8.0,0.0,1.0,,,,1,22.589935,88.510215,magnolia merlion,2,2,0.0
2.0,1,3.0,4000.0,0,0,5,16.0,4000.0,1122-1261  sq.ft.,44.88  - 50.44 L,10.0,0.0,1.0,,,,1,22.594669,88.512752,magnolia signature,2,2,0.0
2.0,1,2.0,4000.0,0,0,5,16.0,4000.0,887-982  sq.ft.,35.48  - 39.28 L,10.0,0.0,1.0,,,,1,22.594669,88.512752,magnolia signature,2,2,0.0
2.0,1,4.0,10500.0,0,0,5,11.0,10500.0,1386 sq.ft.,1.46 Cr,9.0,0.0,1.0,,1386.0,,3,22.518795,88.388439,natural quest,2,2,0.0
2.0,1,3.0,7100.0,0,0,5,3.0,7100.0,1342-1434  sq.ft.,95.28 L - 1.02 Cr,6.0,0.0,1.0,,,,3,22.42366,88.49965,eden luxuria,2,2,0.0
2.0,1,2.0,7100.0,0,0,5,3.0,7100.0,983-1098  sq.ft.,69.79  - 77.96 L,6.0,0.0,1.0,,,,3,22.42366,88.49965,eden luxuria,2,2,0.0
2.0,1,2.0,3900.0,0,0,5,4.0,3900.0,843-963  sq.ft.,32.88  - 37.56 L,8.0,0.0,1.0,,,,1,22.591565,88.456034,gps meena fortuna,2,2,0.0
2.0,1,2.0,4697.0,0,0,6,5.0,4697.0,771-1004  sq.ft.,36.95  - 46.16 L,4.0,0.0,1.0,,,,1,23.674557,87.686114,nirman aalaya,2,2,0.0
2.0,1,3.0,3250.0,0,0,6,4.0,3250.0,1079 sq.ft.,35.07 L,10.0,0.0,1.0,,,,2,22.698142,88.474651,spotlight rainbow,2,2,0.0
2.0,1,2.0,3250.0,0,0,6,4.0,3250.0,836 sq.ft.,27.17 L,10.0,0.0,1.0,,,,2,22.698142,88.474651,spotlight rainbow,2,2,0.0
2.0,1,3.0,3500.0,0,0,5,4.0,3500.0,1173 sq.ft.,41.06 L,21.0,0.0,1.0,,,,2,22.686729,88.439126,plezers habitat,2,2,0.0
2.0,1,2.0,4035.0,0,0,5,4.0,4035.0,510 sq.ft.,20.58 L,21.0,0.0,1.0,,,,2,22.686729,88.439126,plezers habitat,2,2,0.0
2.0,1,3.0,10180.0,0,0,5,10.0,10180.0,835-955  sq.ft.,85  - 97.22 L,10.0,0.0,1.0,,,,1,22.62739,88.44606,urban greens phase 2b,2,2,0.0
2.0,1,2.0,10305.0,0,0,5,10.0,10305.0,689-716  sq.ft.,71  - 73.78 L,10.0,0.0,1.0,,,,1,22.62739,88.44606,urban greens phase 2b,2,2,0.0
2.0,1,3.0,7209.0,0,0,5,22.0,7209.0,746-812  sq.ft.,53  - 58.48 L,15.0,0.0,1.0,,,,1,22.624123,88.504297,merlin rise,2,2,0.0
2.0,1,2.0,6897.0,0,0,5,22.0,6897.0,615-639  sq.ft.,41  - 47.25 L,15.0,0.0,1.0,,,,1,22.624123,88.504297,merlin rise,2,2,0.0
2.0,1,4.0,14765.0,0,0,6,12.0,14765.0,1490 sq.ft.,2.2 Cr,15.0,0.0,1.0,1490.0,,,1,22.557147,88.398467,ps jiva,2,2,0.0
2.0,1,3.0,16182.0,0,0,6,12.0,16182.0,859-1116  sq.ft.,1.39  - 1.81 Cr,15.0,0.0,1.0,,,,1,22.557147,88.398467,ps jiva,2,2,0.0
2.0,1,3.0,9496.0,0,0,5,12.0,9496.0,953 sq.ft.,90.5 L,8.0,0.0,1.0,,953.0,,1,22.564633,88.510995,merlin lakescape,2,2,0.0
2.0,1,2.0,7920.0,0,0,5,12.0,7920.0,662-677  sq.ft.,51  - 55 L,8.0,0.0,1.0,,,,1,22.564633,88.510995,merlin lakescape,2,2,0.0
2.0,1,1.0,7551.0,0,0,5,12.0,7551.0,490 sq.ft.,37 L,8.0,0.0,1.0,,490.0,,1,22.564633,88.510995,merlin lakescape,2,2,0.0
2.0,1,4.0,9783.0,0,0,5,20.0,9783.0,1431 sq.ft.,1.4 Cr,11.0,0.0,1.0,,1431.0,,3,22.481623,88.324648,merlin avana,2,2,0.0
2.0,1,3.0,9579.0,0,0,5,20.0,9579.0,894-1030  sq.ft.,84.5 L - 1 Cr,11.0,0.0,1.0,,,,3,22.481623,88.324648,merlin avana,2,2,0.0
2.0,1,2.0,9330.0,0,0,5,20.0,9330.0,627 sq.ft.,58.5 L,11.0,0.0,1.0,,627.0,,3,22.481623,88.324648,merlin avana,2,2,0.0
